Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Attrited Customer,39,M,2,High School,Single,$60K - $80K,Blue,34,3,4,3,1818,0,1818,0.651,2054,55,0.774,0
Existing Customer,51,F,1,High School,Single,Less than $40K,Blue,43,4,3,2,2827,1308,1519,0.79,3291,55,0.618,0.463
Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,42,3,2,4,2773,1507,1266,1.06,1197,25,1.083,0.543
Existing Customer,65,M,1,Graduate,Married,Less than $40K,Blue,54,5,3,4,3213,2517,696,0.507,1855,39,0.773,0.783
Existing Customer,33,F,3,High School,Divorced,Less than $40K,Blue,26,5,1,3,3616,0,3616,0.912,3133,72,1,0
Existing Customer,59,F,0,High School,Married,Less than $40K,Blue,49,6,2,4,2833,1609,1224,0.78,1335,23,1.3,0.568
Existing Customer,59,F,0,Post-Graduate,Married,Less than $40K,Blue,49,5,2,3,1479,601,878,0.607,1621,32,0.6,0.406
Existing Customer,34,F,3,Post-Graduate,Single,Unknown,Blue,29,3,1,4,1617,1347,270,0.73,2546,55,0.719,0.833
Existing Customer,26,M,0,Uneducated,Single,Less than $40K,Blue,13,4,4,4,2237,451,1786,0.837,2192,36,0.44,0.202
Existing Customer,45,M,4,College,Single,$120K +,Blue,40,3,3,3,2900,1782,1118,1.351,4686,64,0.561,0.614
Existing Customer,57,F,4,Unknown,Married,Less than $40K,Blue,36,3,1,2,2159,1004,1155,0.603,1353,30,0.111,0.465
Existing Customer,34,M,5,Graduate,Married,$60K - $80K,Blue,27,5,2,2,2501,1909,592,0.956,1850,34,1.125,0.763
Attrited Customer,36,F,0,Uneducated,Divorced,$40K - $60K,Blue,30,1,3,4,2190,0,2190,0.908,1412,38,0.583,0
Existing Customer,29,M,1,Post-Graduate,Married,Less than $40K,Blue,18,4,3,2,2963,1466,1497,1.378,2523,48,0.846,0.495
Existing Customer,55,M,0,High School,Married,$80K - $120K,Blue,35,5,1,4,3864,1901,1963,0.289,1018,32,0.391,0.492
Existing Customer,63,F,1,Graduate,Married,Less than $40K,Blue,53,6,1,3,2675,2517,158,0.957,1959,56,1,0.941
Existing Customer,49,F,3,Unknown,Divorced,Less than $40K,Blue,38,3,3,4,1652,812,840,0.548,1771,47,0.516,0.492
Existing Customer,60,M,0,Uneducated,Married,Less than $40K,Blue,52,5,1,2,2595,2189,406,0.276,1562,27,0.174,0.844
Existing Customer,38,M,3,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,3421,2308,1113,2.037,2269,39,1.053,0.675
Existing Customer,39,F,2,Graduate,Married,Less than $40K,Blue,34,4,3,4,2594,0,2594,0.526,1457,43,0.387,0
Existing Customer,35,F,1,Graduate,Married,$40K - $60K,Blue,29,4,2,2,2523,1877,646,1.631,2005,50,1.174,0.744
Existing Customer,26,M,1,High School,Single,$40K - $60K,Blue,13,6,2,4,1473,0,1473,0.813,2099,39,0.857,0
Existing Customer,37,M,2,College,Married,$80K - $120K,Blue,17,5,3,2,4631,1991,2640,1.669,2864,37,0.947,0.43
Existing Customer,39,M,2,Unknown,Married,$60K - $80K,Blue,19,3,3,2,3047,2150,897,0.882,1602,37,1.312,0.706
Existing Customer,56,M,3,Uneducated,Married,$60K - $80K,Blue,36,5,3,3,2253,1375,878,0.388,1324,38,0.31,0.61
Existing Customer,29,M,0,Unknown,Divorced,$80K - $120K,Blue,14,6,3,3,3544,0,3544,0.718,2435,63,1.032,0
Existing Customer,28,M,0,High School,Single,Less than $40K,Blue,19,3,3,4,3480,0,3480,0.731,2744,75,0.829,0
Existing Customer,65,F,0,Post-Graduate,Married,Less than $40K,Blue,56,5,3,2,3549,1880,1669,0.624,1215,22,0.571,0.53
Existing Customer,57,F,3,Uneducated,Married,Less than $40K,Blue,36,6,2,3,3136,1422,1714,0.591,1260,34,0.889,0.453
Existing Customer,33,M,3,Graduate,Married,$80K - $120K,Blue,36,5,3,4,2711,2073,638,0.711,1567,42,0.75,0.765
Existing Customer,38,M,2,College,Married,$40K - $60K,Blue,25,4,1,4,3735,1199,2536,0.886,1573,35,0.75,0.321
Existing Customer,26,F,0,High School,Single,Unknown,Blue,13,4,3,3,3038,1460,1578,0.98,2243,38,0.462,0.481
Existing Customer,26,M,0,High School,Single,Less than $40K,Blue,13,6,1,4,1775,1162,613,0.93,2169,43,0.536,0.655
Existing Customer,33,M,2,College,Married,$80K - $120K,Blue,36,3,1,2,2355,1773,582,0.774,1765,27,0.929,0.753
Existing Customer,55,M,2,Graduate,Married,$60K - $80K,Blue,50,5,2,4,2145,1207,938,0.521,1275,31,0.476,0.563
Existing Customer,40,M,3,Uneducated,Single,$80K - $120K,Blue,36,5,2,3,3919,1640,2279,0.8,1872,51,0.5,0.418
Existing Customer,32,M,1,High School,Single,Less than $40K,Blue,23,3,2,3,4500,0,4500,0.626,2439,63,0.703,0
Existing Customer,62,F,1,High School,Married,Less than $40K,Blue,54,3,3,4,2941,1173,1768,0.436,1453,27,0.35,0.399
Existing Customer,55,F,2,College,Married,Less than $40K,Blue,36,6,3,4,2967,2129,838,1.075,2177,59,0.788,0.718
Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,17,5,2,3,3092,1825,1267,1.46,2883,61,0.488,0.59
Existing Customer,54,M,1,High School,Married,$80K - $120K,Blue,42,5,3,2,1618,668,950,0.552,1515,31,0.476,0.413
Existing Customer,30,F,0,Graduate,Married,Less than $40K,Blue,23,5,2,3,2498,1632,866,0.712,2048,35,1.188,0.653
Existing Customer,46,M,3,Graduate,Married,$40K - $60K,Blue,41,5,2,2,2564,0,2564,1.026,2038,45,0.364,0
Existing Customer,36,F,2,Unknown,Married,Less than $40K,Blue,27,3,3,4,3049,2198,851,1.546,2617,48,1,0.721
Existing Customer,39,M,2,Unknown,Married,$60K - $80K,Blue,25,5,2,3,3071,2517,554,0.583,1765,36,0.565,0.82
Existing Customer,26,F,1,High School,Single,Less than $40K,Blue,13,3,2,3,2404,1198,1206,0.501,2692,63,0.5,0.498
Existing Customer,42,M,1,High School,Married,$40K - $60K,Blue,32,4,2,2,2807,1845,962,1.027,1346,26,1,0.657
Existing Customer,55,M,0,Graduate,Married,$40K - $60K,Blue,36,3,3,2,3097,827,2270,0.511,1390,24,0.263,0.267
Existing Customer,61,M,2,High School,Single,$60K - $80K,Blue,47,5,2,3,2175,1404,771,0.633,3994,64,0.778,0.646
Existing Customer,35,F,1,Graduate,Single,Less than $40K,Blue,23,4,3,3,2640,1051,1589,0.833,3116,80,0.6,0.398
Attrited Customer,46,M,2,Uneducated,Unknown,$60K - $80K,Blue,32,6,2,3,3254,0,3254,0.733,967,24,1.182,0
Existing Customer,54,F,3,High School,Married,Less than $40K,Blue,41,5,4,4,3161,1220,1941,0.82,2412,62,0.824,0.386
Existing Customer,56,F,5,Graduate,Married,Less than $40K,Blue,36,5,4,4,3088,2517,571,0.848,2292,54,0.862,0.815
Existing Customer,30,M,1,Unknown,Married,$40K - $60K,Blue,18,5,1,3,4726,1380,3346,0.622,1723,31,0.55,0.292
Existing Customer,33,F,1,Graduate,Married,Less than $40K,Blue,20,3,2,4,3792,1625,2167,0.618,1888,39,0.625,0.429
Existing Customer,64,M,0,Graduate,Married,Less than $40K,Blue,53,3,3,4,2084,1647,437,0.664,1597,37,0.542,0.79
Existing Customer,59,F,0,Uneducated,Married,Less than $40K,Blue,39,6,3,4,2417,1932,485,1.044,2367,50,0.786,0.799
Existing Customer,38,M,2,Unknown,Married,$40K - $60K,Blue,31,3,2,2,2919,2192,727,1.073,2399,57,0.966,0.751
Existing Customer,29,M,2,Graduate,Divorced,Less than $40K,Blue,20,4,1,2,2462,2021,441,0.966,2320,57,0.676,0.821
Existing Customer,43,F,3,Doctorate,Married,Unknown,Blue,38,3,4,2,1947,0,1947,0.838,2119,52,1,0
Existing Customer,37,F,1,Graduate,Married,Less than $40K,Blue,36,3,3,3,3992,1289,2703,1.008,2181,32,0.6,0.323
Existing Customer,32,M,1,High School,Married,Less than $40K,Blue,14,4,2,2,3568,2175,1393,1.368,1913,35,0.667,0.61
Existing Customer,26,F,0,Uneducated,Single,$40K - $60K,Blue,18,4,3,2,2033,1471,562,0.672,2236,55,0.41,0.724
Existing Customer,38,F,1,Graduate,Married,$40K - $60K,Blue,20,5,1,3,5153,2517,2636,1.488,3095,63,0.969,0.488
Existing Customer,32,F,0,High School,Married,$40K - $60K,Blue,22,4,2,2,2062,1665,397,1.276,2397,41,0.64,0.807
Existing Customer,37,F,3,Graduate,Single,Less than $40K,Blue,31,3,3,4,2005,1517,488,0.729,2439,61,0.848,0.757
Existing Customer,26,M,1,Unknown,Single,Less than $40K,Blue,13,6,2,3,2479,828,1651,0.44,2225,44,0.294,0.334
Existing Customer,55,F,1,Graduate,Married,$40K - $60K,Blue,46,5,4,4,4589,1622,2967,0.425,1569,33,0.269,0.353
Existing Customer,35,M,2,Unknown,Married,$80K - $120K,Blue,36,6,2,2,2263,1188,1075,0.84,1927,47,0.382,0.525
Existing Customer,31,M,2,College,Married,Less than $40K,Blue,21,6,2,4,2718,1920,798,1.604,2570,49,1.042,0.706
Existing Customer,54,F,1,College,Married,Less than $40K,Blue,36,4,2,4,3084,2517,567,0.651,1446,22,0.833,0.816
Existing Customer,54,F,1,High School,Single,Less than $40K,Blue,47,6,4,3,2797,1627,1170,0.413,1566,36,0.714,0.582
Existing Customer,33,M,1,Uneducated,Single,$60K - $80K,Blue,28,6,3,4,2618,1812,806,0.706,3319,86,0.911,0.692
Attrited Customer,26,F,0,Post-Graduate,Single,Less than $40K,Blue,15,3,2,3,1442,1428,14,0.496,1134,26,0.238,0.99
Existing Customer,30,F,2,Uneducated,Married,Less than $40K,Blue,24,4,2,1,2063,0,2063,0.553,1859,43,0.536,0
Existing Customer,56,M,4,Unknown,Married,$80K - $120K,Blue,49,3,4,2,4310,2229,2081,0.643,1645,33,0.941,0.517
Existing Customer,34,M,3,College,Married,$60K - $80K,Blue,23,5,3,2,4245,1815,2430,0.846,1534,34,0.545,0.428
Existing Customer,32,M,0,Graduate,Single,$40K - $60K,Blue,21,6,1,3,1614,925,689,0.598,2659,63,0.75,0.573
Existing Customer,39,M,2,Graduate,Married,$80K - $120K,Blue,22,5,4,2,5140,2517,2623,0.876,1842,36,0.714,0.49
Existing Customer,39,M,3,College,Divorced,$40K - $60K,Blue,34,3,3,2,2503,2185,318,0.5,4157,58,0.758,0.873
Existing Customer,31,M,0,Graduate,Divorced,Less than $40K,Blue,36,4,3,2,3312,2491,821,0.62,2670,50,0.667,0.752
Existing Customer,47,F,5,Graduate,Single,Less than $40K,Blue,42,4,2,4,2224,1106,1118,0.501,1698,41,0.367,0.497
Attrited Customer,37,M,3,College,Married,$60K - $80K,Blue,19,2,3,4,3100,2517,583,0.35,694,12,0.2,0.812
Existing Customer,37,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,3,2031,0,2031,0.752,1678,36,0.8,0
Existing Customer,58,M,1,Graduate,Married,$80K - $120K,Blue,49,6,4,2,1654,1253,401,0.508,1887,60,0.538,0.758
Existing Customer,58,F,2,Graduate,Married,Less than $40K,Blue,39,3,4,3,4608,1077,3531,0.694,1535,31,0.632,0.234
Existing Customer,37,M,3,Graduate,Married,$40K - $60K,Blue,36,6,4,1,3908,1629,2279,0.775,1903,30,0.5,0.417
Existing Customer,54,M,3,Graduate,Married,$80K - $120K,Blue,46,4,3,2,2798,1256,1542,1.132,2631,55,0.774,0.449
Existing Customer,45,F,3,Uneducated,Single,Less than $40K,Blue,39,5,4,1,2551,2253,298,0.688,3753,63,0.909,0.883
Existing Customer,34,F,1,College,Married,Less than $40K,Blue,30,3,3,3,2617,1010,1607,0.659,2003,47,0.679,0.386
Existing Customer,37,M,3,Uneducated,Married,$80K - $120K,Blue,28,6,2,2,2672,1259,1413,1.375,2487,52,0.625,0.471
Existing Customer,47,F,2,Graduate,Single,Less than $40K,Blue,36,3,3,3,2677,1390,1287,0.732,2170,63,0.465,0.519
Existing Customer,54,M,3,High School,Married,$60K - $80K,Blue,43,6,3,4,2240,1580,660,0.745,1518,36,0.8,0.705
Existing Customer,33,F,3,College,Single,Less than $40K,Blue,23,6,4,1,2562,1968,594,0.546,2256,70,0.591,0.768
Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,36,3,3,1,2801,1980,821,0.882,1600,45,0.406,0.707
Existing Customer,62,F,1,Uneducated,Married,Less than $40K,Blue,49,5,4,2,2658,1158,1500,0.476,1809,41,0.464,0.436
Existing Customer,30,M,2,College,Divorced,$40K - $60K,Blue,22,3,3,4,3143,1075,2068,0.643,2510,57,0.629,0.342
Existing Customer,46,M,4,Doctorate,Married,$80K - $120K,Blue,39,3,3,1,5106,1539,3567,0.907,3784,74,0.609,0.301
Existing Customer,53,F,1,College,Married,$40K - $60K,Blue,43,4,4,2,1525,1411,114,0.66,1911,47,0.958,0.925
Existing Customer,39,M,2,Uneducated,Married,$60K - $80K,Blue,28,6,3,5,3257,2517,740,0.539,1534,35,0.591,0.773
Existing Customer,36,F,3,Graduate,Married,Less than $40K,Blue,28,4,3,2,4824,2517,2307,0.838,1516,32,0.391,0.522
Existing Customer,28,F,0,Graduate,Divorced,Less than $40K,Blue,23,5,1,3,3818,584,3234,0.7,2947,87,0.706,0.153
Existing Customer,48,F,4,Graduate,Married,Less than $40K,Blue,36,5,1,1,2930,773,2157,0.661,1545,21,0.909,0.264
Existing Customer,36,M,3,Unknown,Married,$60K - $80K,Blue,36,4,2,2,2956,2411,545,0.971,1896,31,0.824,0.816
Existing Customer,37,M,2,High School,Married,$60K - $80K,Blue,30,4,1,2,2218,1266,952,0.709,1941,58,0.568,0.571
Existing Customer,53,F,1,Graduate,Married,Less than $40K,Blue,39,5,2,4,2590,1564,1026,0.386,1188,40,0.6,0.604
Existing Customer,27,F,1,High School,Single,Less than $40K,Blue,19,4,1,3,4255,1748,2507,0.516,2236,57,0.541,0.411
Existing Customer,32,F,0,High School,Married,Less than $40K,Blue,26,6,2,3,2778,2312,466,0.727,1680,33,1.062,0.832
Existing Customer,54,F,2,High School,Married,Less than $40K,Blue,45,6,1,1,2513,1126,1387,0.324,1454,30,0.25,0.448
Existing Customer,45,M,3,Graduate,Divorced,$60K - $80K,Blue,37,4,1,1,3291,1607,1684,1.26,1984,38,0.652,0.488
Existing Customer,39,F,2,Graduate,Married,$40K - $60K,Blue,29,3,5,2,4955,1157,3798,0.896,1824,38,0.727,0.234
Existing Customer,39,F,1,Graduate,Married,$40K - $60K,Blue,30,6,1,2,2909,1274,1635,0.593,1532,26,0.3,0.438
Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,28,6,2,2,2540,1402,1138,1.127,2384,61,0.794,0.552
Existing Customer,37,M,2,High School,Divorced,$120K +,Blue,24,4,2,2,3497,1665,1832,0.627,2337,61,0.564,0.476
Existing Customer,27,M,0,Uneducated,Married,$40K - $60K,Blue,15,4,3,4,3682,0,3682,0.685,1826,35,0.75,0
Existing Customer,55,F,4,Graduate,Single,Less than $40K,Blue,41,6,2,1,4430,1543,2887,0.752,3395,70,0.628,0.348
Existing Customer,26,M,0,Unknown,Single,Unknown,Blue,16,5,3,2,3877,0,3877,0.773,2473,33,0.833,0
Existing Customer,38,M,1,High School,Married,$60K - $80K,Blue,32,4,2,1,3657,1687,1970,1.357,2758,55,0.833,0.461
Existing Customer,33,M,2,High School,Single,$60K - $80K,Blue,23,4,2,1,2400,0,2400,1.064,2677,70,0.892,0
Existing Customer,44,F,1,Doctorate,Divorced,Less than $40K,Blue,39,5,2,4,2311,1830,481,1.289,1701,33,1.357,0.792
Existing Customer,57,F,3,Unknown,Married,$40K - $60K,Blue,48,4,2,2,3585,1244,2341,0.507,1344,37,0.85,0.347
Existing Customer,55,M,1,Graduate,Married,$60K - $80K,Blue,44,6,2,4,2173,1520,653,0.652,1485,26,0.529,0.699
Existing Customer,45,F,2,Graduate,Divorced,Less than $40K,Blue,36,6,6,3,2803,0,2803,0.565,3347,71,0.732,0
Existing Customer,53,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,2,3924,2517,1407,0.511,1417,30,0.667,0.641
Existing Customer,60,F,0,Uneducated,Married,Less than $40K,Blue,49,3,1,2,3955,2000,1955,0.425,1560,43,0.483,0.506
Existing Customer,56,F,4,Uneducated,Married,Less than $40K,Blue,36,4,1,5,3652,1351,2301,0.836,1561,39,0.625,0.37
Existing Customer,29,F,0,Post-Graduate,Divorced,Less than $40K,Blue,17,3,2,4,2585,2008,577,1.266,3519,73,0.622,0.777
Existing Customer,38,M,2,High School,Married,$120K +,Blue,29,4,1,2,2818,1656,1162,1.404,2916,45,0.957,0.588
Attrited Customer,65,M,1,Unknown,Single,Less than $40K,Blue,36,3,4,4,2351,0,2351,0.881,1593,35,0.591,0
Existing Customer,62,F,1,Graduate,Married,Less than $40K,Blue,49,4,2,2,3143,2517,626,0.625,1323,25,0.923,0.801
Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,17,5,3,3,3119,1328,1791,0.722,2740,62,0.512,0.426
Existing Customer,39,M,2,Uneducated,Married,Less than $40K,Blue,34,4,2,4,3702,1118,2584,1.04,2585,64,0.778,0.302
Existing Customer,59,M,2,High School,Married,$40K - $60K,Blue,50,6,3,2,2701,1572,1129,0.475,1469,36,0.5,0.582
Existing Customer,56,M,3,Unknown,Married,$40K - $60K,Blue,45,6,2,4,1813,1387,426,0.406,1468,32,0.231,0.765
Existing Customer,31,M,1,Graduate,Married,$40K - $60K,Blue,20,6,2,5,2469,1695,774,0.842,1615,36,0.333,0.687
Existing Customer,37,M,0,High School,Divorced,$40K - $60K,Blue,36,3,1,5,3091,0,3091,0.665,2572,65,0.548,0
Existing Customer,36,M,2,High School,Single,$40K - $60K,Blue,32,3,5,2,2683,1533,1150,0.821,2373,73,0.659,0.571
Existing Customer,61,F,0,Graduate,Married,Less than $40K,Blue,53,4,1,2,2942,2022,920,0.537,1479,28,0.217,0.687
Existing Customer,26,M,0,High School,Single,Less than $40K,Blue,36,6,3,3,2735,1348,1387,0.805,2441,58,0.45,0.493
Existing Customer,59,M,2,High School,Married,Less than $40K,Blue,42,3,3,5,4328,670,3658,0.396,1580,54,0.543,0.155
Existing Customer,33,M,1,Graduate,Married,$120K +,Blue,21,4,1,3,4459,1899,2560,1.349,2502,48,1,0.426
Existing Customer,59,M,0,High School,Married,$80K - $120K,Blue,47,5,1,2,3278,1306,1972,0.399,1374,32,0.391,0.398
Existing Customer,56,M,2,High School,Married,$40K - $60K,Blue,36,5,2,3,3295,2002,1293,0.599,1191,34,0.545,0.608
Existing Customer,31,M,0,Graduate,Divorced,$60K - $80K,Blue,24,6,2,2,4232,2092,2140,0.604,2565,69,0.865,0.494
Existing Customer,26,M,1,College,Single,$40K - $60K,Blue,36,3,4,3,2703,1256,1447,0.949,2111,29,0.706,0.465
Existing Customer,29,M,1,Graduate,Married,Less than $40K,Blue,18,4,1,4,2710,629,2081,0.771,1718,37,0.762,0.232
Existing Customer,53,F,2,Uneducated,Married,Less than $40K,Blue,42,6,1,5,2322,1284,1038,0.673,1573,27,0.929,0.553
Existing Customer,35,M,2,Uneducated,Unknown,$120K +,Blue,29,5,1,2,3300,1731,1569,0.689,1745,27,0.929,0.525
Existing Customer,36,M,4,Graduate,Divorced,$120K +,Blue,29,3,2,2,1651,770,881,0.736,2516,54,0.385,0.466
Existing Customer,37,M,3,Unknown,Married,$60K - $80K,Blue,29,5,1,5,2576,1640,936,1.128,2568,34,0.889,0.637
Existing Customer,58,M,1,High School,Married,$60K - $80K,Blue,47,3,1,4,2212,1392,820,0.573,1387,34,0.7,0.629
Existing Customer,35,F,2,High School,Married,Less than $40K,Blue,21,5,6,3,2157,1188,969,0.847,2111,59,0.639,0.551
Existing Customer,39,F,2,Graduate,Married,$40K - $60K,Blue,26,5,1,2,2575,1424,1151,0.543,1487,33,0.737,0.553
Existing Customer,65,M,0,High School,Married,Less than $40K,Blue,56,3,3,5,3838,1736,2102,0.445,1467,29,0.706,0.452
Existing Customer,58,M,0,High School,Married,$80K - $120K,Blue,36,6,3,2,2994,2351,643,0.469,1540,32,0.185,0.785
Attrited Customer,39,M,1,Uneducated,Married,Less than $40K,Blue,36,3,3,3,4247,0,4247,0.405,847,17,0.133,0
Existing Customer,51,F,1,College,Single,Less than $40K,Blue,36,4,4,2,1737,1145,592,0.809,1954,42,1.333,0.659
Existing Customer,34,F,3,Graduate,Married,Less than $40K,Blue,23,5,3,3,2263,1794,469,0.794,2154,37,0.542,0.793
Existing Customer,39,M,3,Unknown,Single,$80K - $120K,Blue,23,6,1,4,2718,2156,562,0.668,1711,36,0.44,0.793
Existing Customer,26,F,2,High School,Single,Unknown,Blue,13,5,0,3,5137,0,5137,0.699,2496,49,0.581,0
Attrited Customer,32,M,2,Graduate,Married,$40K - $60K,Blue,22,3,3,5,4739,0,4739,0.363,886,21,0.4,0
Existing Customer,37,M,1,Uneducated,Single,$80K - $120K,Blue,36,6,1,2,3127,2378,749,0.862,2292,49,0.441,0.76
Existing Customer,33,M,1,Post-Graduate,Married,$80K - $120K,Blue,36,4,3,2,2946,1359,1587,0.746,2017,48,0.455,0.461
Existing Customer,46,M,4,Doctorate,Married,$120K +,Blue,36,3,2,5,3104,862,2242,1.057,2781,74,0.682,0.278
Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,46,3,3,3,3312,1624,1688,0.573,1973,55,0.667,0.49
Existing Customer,41,M,3,College,Single,$60K - $80K,Blue,33,6,1,4,5246,0,5246,0.969,3189,56,0.556,0
Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Blue,41,4,1,2,2432,1554,878,1.158,3670,60,0.818,0.639
Existing Customer,36,F,5,Graduate,Married,Less than $40K,Blue,30,3,3,3,3103,2399,704,0.581,1836,48,0.655,0.773
Existing Customer,35,F,2,High School,Married,Less than $40K,Blue,22,4,3,3,2544,1848,696,0.804,2289,49,0.441,0.726
Existing Customer,48,M,3,College,Married,Less than $40K,Blue,37,4,3,3,3305,2517,788,0.766,2027,57,1.036,0.762
Existing Customer,33,F,2,Doctorate,Single,Unknown,Blue,21,4,3,4,5297,0,5297,0.779,2655,62,0.55,0
Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,36,4,3,3,4260,1775,2485,1.239,2109,52,0.625,0.417
Existing Customer,35,F,4,Unknown,Married,Less than $40K,Blue,30,6,3,4,1626,979,647,1.467,2847,61,0.968,0.602
Existing Customer,55,M,1,Doctorate,Married,$60K - $80K,Blue,49,6,2,4,4597,2442,2155,0.512,1504,38,0.357,0.531
Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,32,5,1,3,2046,1694,352,0.853,3432,49,0.96,0.828
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,46,6,2,2,2737,2517,220,0.533,1619,37,0.48,0.92
Existing Customer,36,M,1,Graduate,Single,Less than $40K,Blue,25,6,1,2,2622,2489,133,0.84,2717,79,0.549,0.949
Existing Customer,37,F,2,Uneducated,Single,Less than $40K,Blue,30,6,3,3,2258,1338,920,0.86,2511,55,0.774,0.593
Existing Customer,64,F,0,Unknown,Married,Unknown,Blue,55,4,1,4,2508,1580,928,0.44,1607,44,0.419,0.63
Existing Customer,52,F,2,Uneducated,Married,Unknown,Blue,36,5,1,2,4006,2517,1489,0.557,1157,34,0.619,0.628
Existing Customer,37,F,5,High School,Single,$40K - $60K,Blue,19,4,1,2,3252,1987,1265,0.658,2953,72,0.714,0.611
Existing Customer,28,M,1,Unknown,Single,$40K - $60K,Blue,15,3,3,1,2109,1542,567,0.67,2261,56,0.6,0.731
Existing Customer,41,M,4,Uneducated,Single,$40K - $60K,Blue,36,4,3,4,3636,1884,1752,0.924,4254,79,0.491,0.518
Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,46,5,1,1,5184,1856,3328,0.553,1834,55,0.571,0.358
Existing Customer,29,M,0,College,Divorced,Unknown,Blue,15,6,3,2,3107,1720,1387,0.661,2460,71,0.69,0.554
Existing Customer,42,M,4,College,Unknown,$60K - $80K,Blue,25,4,3,3,3092,1115,1977,0.802,2133,41,0.783,0.361
Existing Customer,34,F,1,High School,Married,Less than $40K,Blue,28,4,3,4,2707,2036,671,0.827,1926,33,0.941,0.752
Existing Customer,37,M,1,Graduate,Single,Unknown,Blue,32,4,1,3,4397,2007,2390,0.892,2473,47,1.136,0.456
Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,56,6,2,2,2246,1326,920,0.543,1429,32,0.455,0.59
Existing Customer,46,M,3,Graduate,Single,$80K - $120K,Blue,35,6,3,4,4930,0,4930,1.019,3343,77,0.638,0
Existing Customer,27,M,0,Graduate,Single,$40K - $60K,Blue,16,4,1,2,3178,1118,2060,0.643,2010,31,0.55,0.352
Existing Customer,37,F,1,High School,Unknown,Less than $40K,Blue,30,3,5,0,3003,1810,1193,0.719,3148,68,0.789,0.603
Existing Customer,34,F,1,Doctorate,Married,Unknown,Blue,25,4,3,3,2318,2069,249,1.399,2689,57,0.781,0.893
Existing Customer,34,M,0,Graduate,Married,$40K - $60K,Blue,17,4,1,4,2638,2092,546,0.591,1868,43,0.344,0.793
Existing Customer,35,F,1,Uneducated,Married,Less than $40K,Blue,36,3,2,4,2004,0,2004,0.681,1974,60,0.364,0
Existing Customer,55,F,2,Post-Graduate,Married,Less than $40K,Blue,49,4,1,1,2414,2276,138,0.567,2000,62,0.59,0.943
Existing Customer,56,M,2,Graduate,Married,$60K - $80K,Blue,44,3,1,2,2043,1928,115,0.791,2311,57,0.839,0.944
Existing Customer,45,F,4,Uneducated,Married,$40K - $60K,Blue,36,3,1,3,3111,2290,821,1.612,1998,41,0.464,0.736
Existing Customer,56,M,1,Graduate,Married,$120K +,Blue,48,6,3,4,2585,1207,1378,0.44,1590,33,0.32,0.467
Attrited Customer,26,M,0,Graduate,Single,Less than $40K,Blue,13,5,2,4,2469,2410,59,0.544,1027,20,0.176,0.976
Existing Customer,34,M,3,High School,Married,$80K - $120K,Blue,23,5,1,4,4185,2517,1668,0.861,2179,55,0.774,0.601
Existing Customer,39,M,3,Uneducated,Married,$60K - $80K,Blue,36,6,2,4,4759,1459,3300,1.24,2903,57,0.9,0.307
Existing Customer,39,F,2,Uneducated,Married,Less than $40K,Blue,26,5,3,2,3471,2517,954,0.743,1771,34,0.889,0.725
Existing Customer,61,F,0,Graduate,Married,Less than $40K,Blue,51,4,2,1,2250,1041,1209,0.678,1339,28,0.867,0.463
Existing Customer,44,F,3,Graduate,Single,Less than $40K,Blue,36,5,1,3,4066,1028,3038,0.972,3888,77,0.604,0.253
Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,53,5,3,5,4161,2491,1670,0.41,1203,30,0.579,0.599
Existing Customer,26,M,0,Graduate,Single,Less than $40K,Blue,15,6,3,3,2740,2069,671,0.418,1997,44,0.419,0.755
Existing Customer,32,M,0,Graduate,Married,$40K - $60K,Blue,27,3,3,2,4815,1591,3224,1.409,2501,36,0.714,0.33
Existing Customer,62,M,1,Graduate,Married,Unknown,Blue,36,5,2,2,3198,2308,890,0.724,1402,35,0.842,0.722
Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,Blue,23,1,3,3,2218,1696,522,0.367,730,20,0.429,0.765
Existing Customer,55,M,3,College,Married,$60K - $80K,Blue,36,5,4,4,2252,1737,515,0.685,1291,27,0.5,0.771
